Id,R,Nome,Squadra,Prezzo,Rating,Mate,Regularness,Pg19_20,Mv19_20,Mf19_20,Ass19_20,Amm19_20,Pg18_19,Mv18_19,Mf18_19,Ass18_19,A  18_19
608,A,ZAPATA D.,Atalanta,40,5,,5,28,6.54,8.66,6,1,37,6.45,8.35,7,5
4,P,SPORTIELLO,Atalanta,2,1,,1,6,6.17,5.33,0,0,35,6.11,4.21,0,5
26,C,GOMEZ,Atalanta,32,4,,5,36,6.71,7.62,13,2,35,6.21,7.03,10,5
177,A,ILICIC,Atalanta,25,4,,4,26,6.56,8.46,4,1,31,6.39,7.55,6,4
22,C,DE ROON,Atalanta,11,2,,5,35,5.97,6.06,5,12,35,6.01,6.1,1,8
507,A,MURIEL,Atalanta,28,2,MALINOVSKI,4,34,6.32,7.98,1,1,19,6,6.92,0,1
2160,D,GOSENS,Atalanta,26,4,MOJICA,5,34,6.39,7.38,7,3,28,6.18,6.54,2,2
2077,C,PASALIC,Atalanta,18,2,,3,35,6.15,6.88,3,6,33,5.89,6.45,3,1
610,P,GOLLINI,Atalanta,12,3,,5,33,6.15,4.83,0,3,20,6.22,5.15,0,1
695,D,TOLOI,Atalanta,11,3,,5,33,6.18,6.35,4,11,21,6.07,6.19,3,1
2130,D,HATEBOER,Atalanta,14,2,,5,32,5.88,5.85,4,10,35,6.06,6.57,5,5
788,C,FREULER,Atalanta,11,2,,5,31,6.05,6.23,1,3,35,6.16,6.33,2,4
787,D,DJIMSITI,Atalanta,9,3,,3,34,6.07,6.21,1,5,24,5.84,5.86,1,3
2181,D,PALOMINO,Atalanta,10,2,,3,30,5.97,6.05,1,5,30,6.05,6.07,1,5
2741,C,PESSINA,Atalanta,6,2,,2,35,6.04,6.56,0,7,12,6.1,6.3,1,0
1847,D,CALDARA,Atalanta,5,3,,3,14,5.77,5.81,1,1,0,0,0,0,0
2297,P,ROSSI F.,Atalanta,1,1,,1,1,6,5,0,0,1,0,0,0,0
2141,D,DEPAOLI,Atalanta,5,2,,3,29,5.85,5.78,1,7,33,5.75,5.66,4,10
4307,D,ROMERO,Atalanta,9,2,,3,30,5.87,5.75,1,13,27,6,6,1,10
4427,C,MALINOVSKYI,Atalanta,18,4,MURIEL,4,34,6.27,6.91,3,5,,,,0,
4862,A,DIALLO,Atalanta,1,2,,1,3,7,10,0,0,,,,0,
4888,D,SUTALO,Atalanta,2,1,,2,7,5.88,5.75,0,1,,,,0,
5001,C,MIRANCHUK,Atalanta,16,3,,3,,,,0,,,,,0,
5006,D,PICCINI,Atalanta,6,1,,2,,,,0,,,,,0,
4431,P,CARNESECCHI,Atalanta,1,1,,1,,,,0,,,,,0,
5292,A,LAMMERS,Atalanta,12,3,,3,,,,,,,,,,
5293,D,MOJICA,Atalanta,5,3,,3,,,,,,,,,,
115,C,HETEMAJ,Benevento,4,1,,3,,,,0,,30,5.7,5.75,0,9
134,D,BARBA,Benevento,2,1,,2,,,,0,,30,5.6,5.45,0,5
1939,A,LAPADULA,Benevento,15,4,,5,25,6.1,7.27,0,8,8,5.67,6.08,0,1
1958,A,CAPRARI,Benevento,13,4,,4,30,5.94,6.42,0,3,21,6,6.93,2,1
627,C,IONITA,Benevento,6,2,,5,34,5.7,5.66,2,6,37,5.76,5.97,2,4
2659,C,DABO,Benevento,3,2,,3,16,5.62,5.88,3,4,23,5.79,5.91,1,4
475,A,IAGO FALQUE,Benevento,12,3,,4,14,5.85,6.08,0,0,26,6.22,7.08,4,1
1882,A,SAU,Benevento,9,2,,4,,,,0,,19,5.68,5.75,0,4
2265,C,SCHIATTARELLA,Benevento,3,2,,5,,,,0,,28,5.92,5.88,4,10
2853,A,MONCINI,Benevento,3,1,,3,4,5.33,5.33,0,0,1,0,0,0,0
440,C,VIOLA,Benevento,8,3,,4,,,,0,,,,,0,
548,D,GLIK,Benevento,7,4,,5,,,,0,,,,,0,
4957,P,MONTIPO',Benevento,8,1,,5,,,,0,,,,,0,
4958,D,CALDIROLA,Benevento,8,3,,5,,,,0,,,,,0,
74,D,LETIZIA,Benevento,8,1,,4,,,,0,,,,,0,
4963,A,INSIGNE R.,Benevento,5,1,,3,,,,0,,,,,0,
1915,C,TELLO,Benevento,4,1,,4,,,,0,,,,,0,
394,D,MAGGIO,Benevento,2,2,,3,,,,0,,,,,0,
4960,D,TUIA,Benevento,3,1,,2,,,,0,,,,,0,
4962,A,IMPROTA,Benevento,3,1,,2,,,,0,,,,,0,
4955,P,GORI P.,Benevento,1,1,,1,,,,0,,,,,0,
4956,P,MANFREDINI,Benevento,1,1,,1,,,,0,,,,,0,
4959,D,FOULON,Benevento,2,1,,4,,,,0,,,,,0,
4961,D,VOLTA,Benevento,1,1,,1,,,,0,,,,,0,
2244,C,DEL PINTO,Benevento,1,1,,1,,,,0,,,,,0,
5331,C,BASIT,Benevento,1,1,,1,,,,,,,,,,
40,P,DA COSTA,Bologna,1,1,,1,1,6,5,0,0,0,0,0,0,0
50,D,MBAYE,Bologna,2,2,,2,20,5.63,5.61,2,5,23,5.8,5.96,0,5
133,P,SKORUPSKI,Bologna,8,3,,5,37,5.99,4.31,0,2,38,6.11,4.62,0,1
2719,A,BARROW,Bologna,22,4,,5,25,6.14,7.28,5,1,22,5.82,6,0,0
280,A,PALACIO,Bologna,11,3,SANSONE,4,35,6.09,6.72,3,5,28,6.3,6.73,6,6
2167,A,ORSOLINI,Bologna,15,3,,5,37,5.92,6.69,6,3,35,6.19,7.03,4,2
2625,C,SORIANO,Bologna,15,4,,5,29,6.09,6.62,4,3,28,5.9,6.1,2,6
537,A,SANSONE,Bologna,8,4,PALACIO,3,33,5.75,6.02,2,5,15,6,6.54,4,3
2743,A,SANTANDER,Bologna,7,2,,2,24,5.61,5.61,0,6,32,6.03,6.9,3,5
578,D,DANILO LAR.,Bologna,7,1,,5,30,5.95,5.97,0,9,35,6.01,6.04,0,4
374,C,POLI,Bologna,3,2,,4,28,5.91,6.04,0,5,30,6.11,6.48,1,5
2746,D,DIJKS,Bologna,6,3,,3,13,5.73,5.54,0,5,25,6,5.98,0,5
2744,C,SVANBERG,Bologna,4,2,,2,25,5.94,6.11,1,2,23,5.67,5.71,2,2
487,D,DE SILVESTRI,Bologna,8,3,,5,29,5.77,5.73,0,2,32,6,6.29,4,2
2745,D,CALABRESI,Bologna,1,1,,1,0,0,0,0,0,18,5.79,5.74,0,8
2154,A,VIGNATO,Bologna,3,1,,1,,,,0,,10,6,6.4,1,0
2835,C,KINGSLEY,Bologna,1,1,,1,0,0,0,0,0,0,0,0,0,0
272,C,MEDEL,Bologna,5,1,,5,23,5.91,5.65,0,10,,,,0,
4393,C,SCHOUTEN,Bologna,7,1,,3,19,5.78,5.56,0,6,,,,0,
4414,D,DENSWIL,Bologna,4,1,,2,26,5.38,5.16,0,5,,,,0,
4415,A,SKOV OLSEN,Bologna,8,3,,2,26,5.62,5.76,0,2,,,,0,
4422,D,TOMIYASU,Bologna,9,4,,5,29,5.83,5.9,3,8,,,,0,
4869,C,DOMINGUEZ,Bologna,6,2,,4,16,5.87,5.9,1,1,,,,0,
4883,P,BREZA,Bologna,1,1,,1,0,0,0,0,0,,,,0,
4919,C,BALDURSSON,Bologna,1,2,,1,7,5.83,5.83,0,0,,,,0,
5300,D,HICKEY,Bologna,3,3,,4,,,,,,,,,,
1874,A,JOAO PEDRO,Cagliari,26,3,,5,36,6.14,7.5,4,6,34,5.85,6.47,3,4
247,A,PAVOLETTI,Cagliari,14,3,,3,2,5.5,5.5,0,0,32,6.09,7.53,1,6
2061,A,SIMEONE,Cagliari,19,3,,4,37,6.01,7.01,3,4,36,5.66,6.23,3,2
306,A,CERRI,Cagliari,3,1,,2,19,5.73,6.07,0,2,15,5.61,5.5,0,3
2178,P,CRAGNO,Cagliari,10,5,,5,16,6.47,5.31,0,1,38,6.45,5.17,0,1
1866,D,CEPPITELLI,Cagliari,7,3,KLAVAN,4,16,6.03,6.13,0,5,24,5.92,5.81,1,5
2076,C,ROG,Cagliari,8,2,,5,30,6.1,6.07,1,10,9,6.07,6.29,0,3
1869,D,PISACANE,Cagliari,4,2,,3,30,5.74,5.71,0,6,27,5.83,5.87,1,6
2116,D,FARAGO',Cagliari,3,2,,3,21,5.82,5.84,1,3,26,5.83,5.81,1,7
2653,D,LYKOGIANNIS,Cagliari,3,1,,5,20,5.74,5.68,1,4,11,5.5,5.55,1,1
1946,P,ARESTI,Cagliari,1,1,,1,0,0,0,0,0,0,0,0,0,0
1876,D,PAJAC,Cagliari,1,1,,2,11,5.65,5.6,0,1,13,6,6.35,1,5
2195,A,OUNAS,Cagliari,4,2,SOTTIL,3,0,0,0,0,0,18,6,6.75,0,0
2725,C,CALIGARA,Cagliari,2,1,,1,,,,,,0,0,0,0,0
2839,C,SOTTIL,Cagliari,8,2,PEREIRO,3,18,5.83,5.75,0,3,2,0,0,0,0
2854,C,BRADARIC,Cagliari,3,1,,2,0,0,0,0,0,27,5.65,5.5,1,5
2871,D,KLAVAN,Cagliari,5,1,,3,31,5.73,5.59,0,4,15,5.9,5.83,0,2
4327,C,OLIVA,Cagliari,3,1,,2,11,6.15,6.5,1,1,0,0,0,0,0
4374,D,WALUKIEWICZ,Cagliari,5,1,,4,14,5.64,5.61,0,1,,,,0,
2572,D,GODIN,Cagliari,9,3,,3,23,6.05,6.11,1,5,,,,0,
4406,D,TRIPALDELLI,Cagliari,1,1,,1,2,5.5,5.5,0,0,,,,0,
4454,D,PINNA,Cagliari,1,1,,1,1,6.5,6,0,1,,,,,
4461,D,ZAPPA,Cagliari,3,1,FARAGO',4,0,0,0,0,0,,,,0,
4514,C,NANDEZ,Cagliari,10,3,,5,35,6.27,6.33,3,14,,,,0,
4886,C,PEREIRO,Cagliari,9,3,OUNAS,3,10,5.75,5.94,0,3,,,,0,
4925,D,CARBONI,Cagliari,1,2,,1,7,5.5,5,0,2,,,,0,
4929,P,CIOCCI,Cagliari,1,1,,1,0,0,0,0,0,,,,0,
4965,C,MARIN,Cagliari,7,3,,4,,,,0,,,,,0,
4964,P,VICARIO,Cagliari,1,1,,1,,,,0,,,,,0,
5297,A,LUVUMBO,Cagliari,2,1,,1,,,,,,,,,,
5318,C,TRAMONI M.,Cagliari,1,1,,1,,,,,,,,,,
20,C,CIGARINI,Crotone,5,3,,4,22,6.02,5.98,3,6,25,5.87,5.72,1,9
2739,D,RECA,Crotone,3,1,,2,25,5.66,5.7,2,2,3,6.5,6.5,0,0
393,D,LUPERTO,Crotone,2,3,,3,9,5.64,5.5,0,2,12,5.65,5.65,0,0
637,A,SILIGARDI,Crotone,4,1,,2,12,6.08,6.25,1,0,29,6,6.15,2,2
729,D,PEREIRA P.,Crotone,3,2,,3,,,,,,26,5.52,5.5,0,1
2869,D,DJIDJI,Crotone,2,1,,5,17,5.31,5.12,0,1,17,5.97,5.91,0,2
84,D,MARRONE,Crotone,4,3,,5,0,0,0,0,0,,,,0,
179,C,PETRICCIONE,Crotone,5,2,,3,31,5.92,5.85,3,10,,,,,
423,D,RISPOLI,Crotone,5,3,MUSTACCHIO,4,28,5.66,5.54,0,6,,,,0,
1997,A,SIMY,Crotone,13,3,,5,,,,0,,,,,0,
428,C,BENALI,Crotone,8,3,,5,,,,0,,,,,0,
5009,A,RIVIERE,Crotone,10,2,MESSIAS,3,,,,0,,,,,0,
4970,A,MESSIAS,Crotone,8,2,RIVIERE,4,,,,0,,,,,0,
1889,P,CORDAZ,Crotone,5,2,,5,,,,0,,,,,0,
1851,C,MOLINA S.,Crotone,7,1,,4,,,,0,,,,,0,
5002,C,VULIC,Crotone,6,1,,4,,,,0,,,,,0,
4967,D,GOLEMIC,Crotone,5,1,,5,,,,0,,,,,0,
5000,D,MAGALLAN,Crotone,4,1,,5,,,,0,,,,,0,
5008,C,EDUARDO HENRIQUE,Crotone,5,1,,3,,,,0,,,,,0,
1950,D,MAZZOTTA,Crotone,3,1,,3,,,,0,,,,,0,
2286,C,CROCIATA,Crotone,3,1,,3,,,,0,,,,,0,
2143,D,CUOMO,Crotone,2,1,,2,,,,0,,,,,0,
5011,A,DRAGUS,Crotone,3,1,,1,,,,0,,,,,0,
2316,C,ZANELLATO,Crotone,2,1,,1,,,,0,,,,,0,
1890,P,FESTA,Crotone,1,1,,1,,,,0,,,,,0,
4968,C,GOMELT,Crotone,2,1,,1,,,,0,,,,,0,
5289,P,CRESPI,Crotone,1,1,,1,,,,,,,,,,
4969,C,MUSTACCHIO,Crotone,1,1,,3,,,,0,,,,,0,
150,C,SAPONARA,Fiorentina,6,3,,2,17,6,6.47,3,3,22,6.12,6.52,4,3
172,C,BORJA VALERO,Fiorentina,6,3,,3,19,6.1,6.4,0,4,27,5.91,5.85,0,4
252,D,BIRAGHI,Fiorentina,8,4,,5,25,5.98,6.43,6,3,36,5.89,6,5,8
287,D,CACERES,Fiorentina,7,2,,4,27,5.98,5.91,0,8,13,5.79,5.75,0,1
2762,A,KOUAME',Fiorentina,16,4,VLAHOVIC,4,18,6.31,7.44,3,1,38,6.07,6.46,5,4
367,C,BONAVENTURA,Fiorentina,14,3,,4,29,6.12,6.62,5,2,8,6.12,7.25,0,0
2164,D,MILENKOVIC,Fiorentina,14,4,,5,37,6.18,6.46,0,9,34,5.93,6.06,0,7
406,C,CALLEJON,Fiorentina,12,4,,4,33,5.95,6.52,7,2,34,6.15,6.71,10,1
644,C,PULGAR,Fiorentina,13,4,,3,37,6.09,6.64,6,9,28,5.96,6.46,2,6
526,C,DUNCAN,Fiorentina,7,3,,3,26,6.08,6.44,5,5,26,6.1,6.6,4,6
1917,P,DRAGOWSKI,Fiorentina,11,5,,5,31,6.21,5,0,1,17,6.44,5.03,0,2
2155,A,CUTRONE,Fiorentina,11,3,,3,19,5.94,6.64,1,1,34,5.83,6.17,2,2
2309,D,PEZZELLA GER.,Fiorentina,9,3,,5,33,6.06,6.16,0,12,32,6.03,6.09,1,6
2006,D,LIROLA,Fiorentina,8,2,,3,35,5.83,5.83,2,4,35,5.99,6.21,7,2
2174,D,VENUTI,Fiorentina,2,1,,1,16,5.81,5.73,1,4,0,0,0,0,0
2815,P,TERRACCIANO,Fiorentina,1,1,,1,7,6.36,5.64,0,0,10,6.35,5.05,0,0
2841,A,VLAHOVIC,Fiorentina,18,3,KOUAME,3,30,5.91,6.46,0,4,10,5.62,5.62,0,0
4351,P,BRANCOLINI,Fiorentina,1,1,,1,1,0,0,0,0,0,0,0,0,0
4353,C,MONTIEL,Fiorentina,1,1,,1,0,0,0,0,0,1,0,0,0,0
2409,A,RIBERY,Fiorentina,18,2,,5,21,6.5,6.95,3,3,,,,0,
4377,C,CASTROVILLI,Fiorentina,17,4,,5,33,6.35,6.53,2,10,,,,0,
1979,D,BARRECA,Fiorentina,3,3,,2,18,5.68,5.74,1,0,,,,,
4407,D,IGOR,Fiorentina,4,1,,2,26,5.75,5.62,1,9,,,,0,
4522,C,AMRABAT,Fiorentina,9,2,,4,34,6.29,6.21,1,10,,,,0,
4950,D,DALLE MURA,Fiorentina,1,1,,1,1,0,0,0,0,,,,,
5323,D,MARTINEZ QUARTA,Fiorentina,5,2,,2,,,,,,,,,,
15,D,MASIELLO,Genoa,3,1,,4,22,5.8,5.73,1,5,24,5.83,5.67,1,5
118,C,RADOVANOVIC,Genoa,4,1,,2,19,5.84,5.75,0,3,35,5.66,5.53,0,9
170,C,BADELJ,Genoa,4,2,,3,22,5.65,5.72,0,1,23,5.82,5.73,0,6
218,P,PERIN,Genoa,8,3,,5,21,6.12,4.29,0,1,9,5.89,4.94,0,1
244,D,GHIGLIONE,Genoa,7,2,ZAPPACOSTA,3,25,5.91,6.04,5,4,9,5.83,5.94,0,4
245,A,PANDEV,Genoa,11,3,,3,34,6.28,7.19,2,4,26,6.05,6.6,2,6
305,C,STURARO,Genoa,4,2,,4,16,5.78,5.81,1,7,5,5.7,6.1,0,0
318,P,MARCHETTI,Genoa,1,1,,1,0,0,0,0,0,4,5.75,3.12,0,1
365,D,ZAPATA C.,Genoa,5,1,,3,20,5.66,5.61,0,4,13,6.08,5.92,0,4
2285,D,BANI,Genoa,6,2,,3,27,5.96,6.19,0,10,30,5.65,5.43,0,7
418,D,GOLDANIGA,Genoa,5,1,,4,13,5.59,5.68,0,4,29,5.57,5.6,1,6
2759,D,CRISCITO,Genoa,13,4,,5,26,6,6.58,0,7,35,6.01,6.1,4,12
472,A,DESTRO,Genoa,10,2,,4,13,5.67,5.61,0,2,17,6.28,7.56,1,3
2083,D,BIRASCHI,Genoa,5,1,,4,24,5.65,5.46,0,3,34,5.81,5.68,0,3
2213,C,CASSATA,Genoa,4,1,,3,24,5.66,5.66,0,9,19,5.83,6,2,8
2302,C,BEHRAMI,Genoa,5,1,,2,17,5.74,5.62,0,2,19,6.06,6.06,0,6
1982,C,PARIGINI,Genoa,3,1,,1,0,0,0,0,0,17,5.75,5.67,0,2
1998,A,PJACA,Genoa,5,3,,4,0,0,0,0,0,19,5.7,5.93,1,1
2728,D,PELLEGRINI LU.,Genoa,5,3,,3,24,6.04,6.04,5,10,16,5.91,5.84,2,4
2124,C,ZAJC,Genoa,10,4,,4,,,,0,,20,5.98,6.45,2,1
2137,A,SCAMACCA,Genoa,1,2,,2,,,,0,,0,0,0,0,0
4330,C,LERAGER,Genoa,5,1,,3,21,5.71,5.79,1,5,14,5.68,5.75,0,4
554,D,ZAPPACOSTA,Genoa,7,4,GHIGLIONE,4,9,5.72,5.83,1,0,,,,,
4459,C,ROVELLA,Genoa,1,1,,1,2,6,6,0,0,,,,,
4512,C,SCHONE,Genoa,7,3,,5,32,5.95,6.03,2,5,,,,0,
4881,D,CZYBORRA,Genoa,4,1,,2,1,6,6,0,0,,,,0,
5311,A,SHOMURODOV,Genoa,9,2,,3,,,,,,,,,,
5013,A,ASORO,Genoa,6,2,,2,,,,,,,,,,
2121,C,MELEGONI,Genoa,2,1,,1,,,,,,,,,,
1921,P,ZIMA,Genoa,1,1,,1,,,,,,,,,,
5320,P,PALEARI,Genoa,1,1,,1,,,,,,,,,,
5303,A,MALES,Genoa,1,1,,1,,,,,,,,,,
2764,A,MARTINEZ L.,Inter,32,4,,4,35,6.21,7.29,3,7,27,6.07,6.84,1,4
181,C,VECINO,Inter,6,1,,1,20,5.97,6.25,1,4,30,5.85,6.07,1,8
467,C,NAINGGOLAN,Inter,21,3,,2,26,6.4,7.19,5,5,29,6.21,6.91,3,3
250,P,HANDANOVIC,Inter,16,4,,5,35,6.16,5.3,0,2,38,6.18,5.32,0,0
253,D,D'AMBROSIO,Inter,9,4,,3,22,6.08,6.58,0,6,30,5.95,6.19,4,6
261,D,RANOCCHIA,Inter,1,1,,2,7,6.21,6,0,3,4,6,5.75,0,1
265,C,BROZOVIC,Inter,13,2,,4,32,6.28,6.58,5,9,32,5.91,5.94,1,10
322,D,DE VRIJ,Inter,15,4,,5,34,6.29,6.6,1,5,28,6.07,6.18,0,2
2214,D,KOLAROV,Inter,13,3,,3,32,6.02,6.52,3,6,33,6.06,6.7,1,6
2120,D,BASTONI,Inter,12,4,,4,25,5.98,6.04,0,7,24,5.95,6.05,0,2
543,P,PADELLI,Inter,1,1,,1,3,5.33,4,0,0,0,0,0,0,0
1870,C,BARELLA,Inter,12,3,,4,27,6.07,6.09,3,11,35,6.13,6.07,4,8
1978,C,SENSI,Inter,12,4,,3,12,6.29,7.04,1,2,28,6.05,6.27,4,8
704,C,PERISIC,Inter,11,3,,3,0,0,0,0,0,34,6.03,6.72,4,5
798,D,SKRINIAR,Inter,8,4,,3,32,6.14,5.94,0,7,35,6.1,5.99,0,4
801,C,GAGLIARDINI,Inter,9,1,,2,24,5.94,6.33,0,5,19,6.1,6.97,0,4
1843,P,RADU I.,Inter,1,1,,1,17,6.03,4,1,1,33,6.3,5,0,0
2038,A,PINAMONTI,Inter,10,3,,2,32,5.7,6.12,1,1,27,5.8,6.48,3,2
2531,A,LUKAKU,Inter,42,5,,5,36,6.42,8.33,1,2,,,,0,
2475,A,SANCHEZ,Inter,24,4,,3,22,6.44,7.5,8,2,,,,0,
2556,C,ERIKSEN,Inter,16,3,,3,17,5.92,6.31,2,0,,,,0,
2707,D,YOUNG,Inter,12,4,,4,18,6.12,7.03,4,1,,,,0,
2525,D,DARMIAN,Inter,6,2,,3,33,5.92,5.95,1,6,,,,0,
4160,D,HAKIMI,Inter,21,5,,5,,,,0,,,,,0,
2414,C,VIDAL,Inter,19,4,,4,,,,,,,,,,
2610,A,RONALDO,Juventus,49,4,,5,33,6.56,9.33,3,3,31,6.48,8.6,7,3
309,A,DYBALA,Juventus,30,3,,5,33,6.67,7.84,7,5,30,5.94,6.56,2,2
2002,C,CHIESA,Juventus,24,4,,4,34,6.31,7.15,5,7,37,6.24,6.73,2,4
184,C,BERNARDESCHI,Juventus,9,3,,3,29,5.5,5.56,1,6,28,6.04,6.26,3,5
453,P,SZCZESNY,Juventus,17,4,,5,29,6.19,5.14,0,1,28,6.14,5.54,0,0
286,D,BONUCCI,Juventus,14,3,,5,35,6.27,6.4,0,9,29,6.02,6.29,0,2
288,D,CHIELLINI,Juventus,11,3,,4,4,6.12,6.88,0,0,25,6.35,6.46,1,3
299,C,KHEDIRA,Juventus,4,1,,1,12,5.92,5.88,1,3,10,6.1,6.7,0,0
697,D,CUADRADO,Juventus,13,4,,3,33,6.05,6.18,3,7,18,5.78,5.97,2,4
2166,C,BENTANCUR,Juventus,13,3,,4,30,6.12,6.21,7,9,31,5.91,6.03,2,7
662,D,ALEX SANDRO,Juventus,11,3,,4,29,5.97,6.07,2,4,31,6.05,6.14,3,7
1930,P,PINSOGLIO,Juventus,1,1,,1,1,6,6,0,0,1,5.5,3.5,0,0
2833,C,KULUSEVSKI,Juventus,26,3,,4,36,6.42,7.43,8,3,3,5.5,5.5,0,0
4332,D,DEMIRAL,Juventus,6,4,,3,6,6.25,6.83,1,1,14,6.29,6.61,0,3
4370,C,PORTANOVA,Juventus,1,1,,1,0,0,0,0,0,1,6,5.5,0,1
282,P,BUFFON,Juventus,1,1,,1,9,6.11,5,0,0,,,,0,
2472,C,RAMSEY,Juventus,13,3,,4,24,6.02,6.41,0,2,,,,0,
2379,C,RABIOT,Juventus,9,2,,4,28,5.91,5.93,1,5,,,,0,
4237,D,DANILO,Juventus,6,2,,3,22,5.77,5.95,0,2,,,,0,
4428,D,DE LIGT,Juventus,14,3,,4,29,6.05,6.38,0,5,,,,0,
4946,D,FRABOTTA,Juventus,2,1,,1,1,6,6,0,0,,,,,
313,A,MORATA,Juventus,23,4,,3,,,,,,,,,,
4285,C,ARTHUR,Juventus,15,3,,4,,,,0,,,,,0,
4973,C,MCKENNIE,Juventus,6,3,,4,,,,0,,,,,0,
785,A,IMMOBILE,Lazio,45,3,,5,37,6.57,9.49,7,8,36,6.04,7.41,6,6
2085,C,LUIS ALBERTO,Lazio,24,4,,5,36,6.46,7.31,15,5,27,5.98,6.48,5,5
495,A,CORREA,Lazio,21,3,,4,30,6.27,7.13,2,0,34,6.26,6.78,5,5
645,C,MILINKOVIC-SAVIC,Lazio,20,4,,5,37,6.19,6.72,3,9,31,5.87,6.31,3,7
2284,A,CAICEDO,Lazio,17,2,,3,30,6.09,6.86,1,7,28,6.15,7.2,2,4
327,D,PATRIC,Lazio,5,1,,3,21,5.83,5.74,0,2,15,5.75,5.71,0,1
329,D,RADU,Lazio,8,2,,4,29,5.93,5.9,0,8,28,5.8,5.75,1,5
333,C,CATALDI,Lazio,4,3,,3,21,6.09,6.22,0,3,12,6.09,6.64,1,2
338,C,LULIC,Lazio,7,3,,3,20,5.95,5.9,2,6,35,5.9,6.2,1,5
342,C,PAROLO,Lazio,5,2,,3,29,5.86,5.82,0,8,34,6.17,6.55,3,7
513,D,ACERBI,Lazio,15,3,,5,36,6.26,6.43,2,4,37,6.14,6.31,0,3
1934,P,STRAKOSHA,Lazio,14,5,,5,38,6.21,5.16,0,2,35,6.17,5.09,0,4
387,P,REINA,Lazio,1,1,,1,1,6.5,8.5,0,0,4,6.38,5.12,0,0
2263,C,LAZZARI,Lazio,12,4,,5,32,6.19,6.16,2,6,33,6.35,6.48,8,7
633,C,FARES,Lazio,6,3,,4,8,5.56,5.44,0,2,35,5.86,5.97,1,12
2062,D,BASTOS,Lazio,5,1,,3,16,5.82,5.75,0,4,18,5.82,5.91,0,3
2335,D,LUIZ FELIPE,Lazio,7,2,,4,26,6,6.04,1,6,17,5.94,6.06,1,4
2209,C,LUCAS LEIVA,Lazio,7,1,,4,25,6.04,5.88,1,8,27,6,5.94,2,7
2188,C,MARUSIC,Lazio,5,2,,3,15,6.14,6.54,1,3,26,5.8,5.88,1,2
2770,P,PROTO,Lazio,1,1,,1,0,0,0,0,0,2,6,3.75,0,1
2107,C,KIYINE,Lazio,1,1,,1,,,,0,,23,5.92,5.81,1,7
4366,D,ARMINI,Lazio,1,1,,1,1,0,0,0,0,1,5.5,5.5,0,0
4390,C,ANDERSON D.,Lazio,1,1,,2,5,5.83,5.67,0,1,,,,,
4397,D,VAVRO,Lazio,2,1,,2,11,5.78,5.78,0,0,,,,0,
4938,A,MORO,Lazio,1,1,,1,1,0,0,0,0,,,,,
5012,A,MURIQI,Lazio,11,3,,3,,,,0,,,,,0,
4249,C,PEREIRA A.,Lazio,8,3,,3,,,,,,,,,,
324,D,HOEDT,Lazio,7,3,,3,,,,,,,,,,
4975,C,ESCALANTE,Lazio,5,1,,2,,,,0,,,,,0,
5286,C,AKPA AKPRO,Lazio,2,2,,2,,,,,,,,,,
5306,P,ALIA,Lazio,1,1,,1,,,,,,,,,,
